Comment,Designator,Footprint,LCSC Part #,비고
TPS54360BDDAR,U2,SOIC-8-EP (HSOP-8),C524806,60V 3.5A 벅 컨트롤러
SN65HVD230DR,U1,SOIC-8,C12084,3.3V CAN 트랜시버
B360A,D10,SMA / DO-214AC,C94193,60V 3A 쇼트키 (캐치 다이오드)
SM8S24A,D1,DO-218AB,C314439,24V 자동차용 TVS (단방향)
MMSZ12T1G,D2,SOD-123,C72599,12V 제너 500mW (게이트 클램프)
NUP2105LT1G,D3,SOT-23,C14486,CAN 라인 보호
SUD50P06-15-GE3,Q1,TO-252 (DPAK),C141584,P-ch MOSFET -60V 15mR (역접속 보호)
1812L110/33MR,F1,1812,C142747,PTC 1.1A 33V
SWPA6045S100MT,L1,6.0x6.0x4.5mm,C79272,10uH Isat 3.5A
S6B-XH-A(LF)(SN),J1,JST XH 6P 측면형,C157919,OBD 케이블 입력
2.2uF 100V X7R,"C10,C11",1210,C153036,벅 입력 커패시터
100nF 100V X7R,C12,0805,C28233,VIN 고주파 (Basic)
100nF 50V X7R,C13,0603,C14663,BOOT-SW (Basic)
100nF 50V X7R,C1,0805,C49678,U1 VCC 디커플 (Basic)
22uF 25V X5R,"C14,C15",1206,C12891,벅 출력 (Basic)
3300pF 50V X7R,C16,0603,C1613,COMP (Basic)
52.3k 1%,R10,0603,C23198,FB 상단
10.0k 1%,R11,0603,C25804,FB 하단 (Basic)
182k 1%,R12,0603,C22894,"RT/CLK — 재고 적음, C163428 대체 가능"
8.06k 1%,R13,0603,C23112,COMP 직렬 R
100k,R1,0805,C149504,게이트 풀다운 (Basic)
0R jumper,R2,0805,C17477,섀시-시그널 GND 연결 (Basic)
120R  ** DNP **,R3,0805,C17437,실장 금지 — 차량 버스에 종단 있음
PinHeader 1x22 2.54mm,"J3,J4",THT 1x22,-,데브킷 수납용 — 암헤더 또는 핀헤더 별도 구매
Test pad (구리만),TP1~TP8,D2.0mm 패드,-,부품 없음
M2.5 나사구멍,H1~H4,2.7mm NPTH,-,부품 없음
