Designator,Mid X,Mid Y,Layer,Rotation
C1,62.4800,-101.0000,Top,90
C10,75.9200,-98.0000,Top,0
C11,76.0000,-102.0000,Top,0
C12,80.0800,-98.0000,Top,0
C13,87.0000,-97.0300,Top,0
C14,104.0000,-98.0000,Top,0
C15,104.0000,-103.0000,Top,0
C16,89.0000,-110.0000,Top,0
D1,105.0000,-101.5000,Bottom,180
D2,110.0000,-103.0000,Top,0
D3,72.0000,-112.0000,Top,0
D10,92.8700,-99.8000,Top,90
F1,110.0000,-98.2500,Top,0
J1,116.5000,-99.0000,Bottom,-90
J3,61.0000,-116.8400,Top,90
J4,61.0000,-93.9800,Top,90
L1,98.1300,-102.0000,Top,0
Q1,105.0000,-111.5000,Bottom,180
R1,107.0000,-110.0000,Top,90
R2,67.0000,-111.0000,Top,0
R10,82.0000,-104.1020,Top,0
R11,82.0000,-107.0000,Top,0
R12,78.0000,-106.0000,Top,0
R13,85.0000,-110.0000,Top,0
U1,67.0000,-101.0000,Top,-90
U2,87.0000,-100.5660,Top,0
