Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SM8S24A","DO-218AB_SM8S",105.000000,-101.500000,180.000000,bottom
"J1","OBD-II INPUT","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal",116.500000,-99.000000,-90.000000,bottom
"Q1","Q_PMOS_GDS","TO-252-2",105.000000,-111.500000,180.000000,bottom
"TP1","TestPoint","TestPoint_Pad_D2.0mm",75.000000,-102.000000,90.000000,bottom
"TP2","TestPoint","TestPoint_Pad_D2.0mm",72.000000,-102.000000,90.000000,bottom
"TP3","TestPoint","TestPoint_Pad_D2.0mm",69.000000,-102.000000,90.000000,bottom
"TP4","TestPoint","TestPoint_Pad_D2.0mm",66.000000,-102.000000,90.000000,bottom
"TP5","TestPoint","TestPoint_Pad_D2.0mm",75.000000,-108.000000,90.000000,bottom
"TP6","TestPoint","TestPoint_Pad_D2.0mm",72.000000,-108.000000,90.000000,bottom
"TP7","TestPoint","TestPoint_Pad_D2.0mm",69.000000,-108.000000,90.000000,bottom
"TP8","TestPoint","TestPoint_Pad_D2.0mm",66.000000,-108.000000,90.000000,bottom
