Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1µF(100nF)","C_0805_2012Metric",62.480000,-101.000000,90.000000,top
"C10","2.2µF/100V","C_1210_3225Metric",75.920000,-98.000000,0.000000,top
"C11","2.2µF/100V","C_1210_3225Metric",76.000000,-102.000000,0.000000,top
"C12","100nF/100V","C_0805_2012Metric",80.080000,-98.000000,0.000000,top
"C13","100nF","C_0603_1608Metric",87.000000,-97.030000,0.000000,top
"C14","22µF/16V","C_1206_3216Metric",104.000000,-98.000000,0.000000,top
"C15","22µF/16V","C_1206_3216Metric",104.000000,-103.000000,0.000000,top
"C16","3300pF","C_0603_1608Metric",89.000000,-110.000000,0.000000,top
"D2","SZMMSZ12T1G","D_SOD-123",110.000000,-103.000000,0.000000,top
"D3","NUP2105L","SOT-23",72.000000,-112.000000,0.000000,top
"D10","B360A","D_SMA",92.870000,-99.800000,90.000000,top
"F1","1A","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",110.000000,-98.250000,0.000000,top
"J3","ESP32_S3_DEVKITC_J1","PinHeader_1x22_P2.54mm_Vertical",61.000000,-116.840000,90.000000,top
"J4","ESP32_S3_DEVKITC_J3","PinHeader_1x22_P2.54mm_Vertical",61.000000,-93.980000,90.000000,top
"L1","10µH 4A","L_Sunlord_SWPA6045S",98.130000,-102.000000,0.000000,top
"R1","100kΩ","R_0805_2012Metric",107.000000,-110.000000,90.000000,top
"R2","0Ω","R_0805_2012Metric",67.000000,-111.000000,0.000000,top
"R3","120Ω DNP","R_0805_2012Metric",63.180000,-111.000000,0.000000,top
"R10","52.3kΩ 1%","R_0603_1608Metric",82.000000,-104.102000,0.000000,top
"R11","10kΩ 1%","R_0603_1608Metric",82.000000,-107.000000,0.000000,top
"R12","182kΩ 1%","R_0603_1608Metric",78.000000,-106.000000,0.000000,top
"R13","8.06kΩ","R_0603_1608Metric",85.000000,-110.000000,0.000000,top
"U1","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",67.000000,-101.000000,-90.000000,top
"U2","TPS54360BDDA","HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias",87.000000,-100.566000,0.000000,top
